Name	Set	ImageFile	SetID	Type	Subtype/Race	Cost	T.Cost	ATK	DEF	Attribute	Rarity	Cardtext
Melgis, the Flame King | Melgis, the One Charmed by the Demon Sword	VS01	VS01-028-r,VS01-028-j	VS01-028	Ruler	Seven Kings			0 | 1000	0 | 500	Fire	R	[J-Activate] Pay {r}{r}. {r}{r}: This card deals 200 damage to target opponent. | [First Strike] (While attacking, this card deals battle damage first to the blocker or attacked object.)When this card enters your field, put the top card of your magic stone deck into your magic stone area.{r}, banish a magic stone or resonator: This card deals 300 damage to target resonator.God's Art &lt;:Unleash the Demon Sword&gt; {r}{r}{4}: Destroy target resonator. This card gains [+X/+0] until end of turn, where X is the ATK of the destroyed resonator. Play God's Art &lt;Unleash the Demon Sword&gt; only once per game.
Mordred, the Traitor	VS01	VS01-029	VS01-029	Resonator	Knight of the Round Table	{r}{r}{2}	4	900	900	Fire	R	Whenever this card attacks, you may banish another resonator. If you do, this card deals 1000 damage to target resonator.
Rukh Egg	VS01	VS01-030	VS01-030	Resonator	Egg	{r}	1	0	200	Fire	C	This card cannot attack.When this card is put into a graveyard from your field, search your main deck for a fire resonator, reveal it and put it into your hand. Then shuffle your main deck.
Spirit of Certo	VS01	VS01-031	VS01-031	Resonator	Spirit	{r}{r}{1}	3	900	400	Fire	C	[Swiftness] (This card can attack and play its Rest abilities the same turn it enters a field.)
Whelp Drake	VS01	VS01-032	VS01-032	Resonator	Dragon	{r}{1}	2	400	400	Fire	C	[Flying] (This card cannot be blocked by J/resonators without [Flying].) When this card is put into a graveyard from your field, it deals 400 damage to target resonator.
Arla, the Winged Lord | Arla, the Hegemon of the Sky	SKL	SKL-001-r,SKL-001-j	SKL-001	Ruler	Seven Kings			0 | 900	0 | 700	Light	R	[J-Activate] {w}{w} {w}{w}: Target resonator with [Flying] you control gains [+200/+200] until end of turn. | [Flying] When this card enters your field, search your main deck for an Angel resonator, reveal it and put it into your hand. Then shuffle your main deck.God's Art &lt;Rain of Arrows&gt; {w}{w}{2}: Whenever a J/resonator you control attacks this turn, this card deals 400 damage to target resonator your opponent controls for each time J/resonators you control attacked this turn. (Play God's Art &lt;Rain of Arrows&gt; only once per game.)
Bai Hu, the Sacred Beast	SKL	SKL-002	SKL-002	Resonator	Four Sacred Beasts	{w}{2}	3	600	600	Light	R	[Target Attack] (This card can attack recovered J/resonators.) When this card enters your field, you gain 200 life for each Four Sacred Beasts you control.
Bedivere, the Restorer of Souls	SKL	SKL-003	SKL-003	Resonator	Knight of the Round Table	{w}{w}{1}	3	700	700	Light	SR	[Target Attack] (This card can attack recovered J/resonators.) When this card enters your field, you may remove target resonator with 1000 or more ATK from the game.
Blessed Holy Wolf	SKL	SKL-004	SKL-004	Resonator	Holy Beast	{w}{1}	2	400	600	Light	C	When this card enters your field, you may destroy target addition.
Celestial Wing Seraph	SKL	SKL-005	SKL-005	Resonator	Angel	{w}{w}{3}	5	1000	1000	Light	SR	[Flying] (This card cannot be blocked by J/resonators without [Flying].) When this card enters your field, you may search your main deck for an Angel resonator with total cost 4 or less and put it into your field. Then shuffle your main deck.Whenever this card attacks you gain 300 life for each Angel you control.
Dignified Seraph	SKL	SKL-006	SKL-006	Resonator	Angel	{w}{w}{2}	4	800	800	Light	U	[Flying] (This card cannot be blocked by J/resonators without [Flying].)
Faria, the Sacred Queen | Faria, the Ruler of God Sword	SKL	SKL-007-r,SKL-007-j	SKL-007	Ruler	Seven Kings			0 | 800	0 | 800	Light	R	[J-Activate] {w}{w} {w}{w}: You gain 200 life. | [Target Attack] (This card can attack recovered J/resonators.) When this card enters your field, put the top card of your magic stone deck into your magic stone area.Whenever this card attacks, recover target Regalia you control.God's Art &lt;God's Breath&gt; {w}{w}{4}: Recover all resonators you control. Play God's Art &lt;God's Breath&gt; only once per game.
Give Wings	SKL	SKL-008	SKL-008	Spell:Chant-Instant		{w}	1			Light	C	Target resonator gains [+200/+200] and [Flying] until end of turn.
Gwiber, the White Dragon	SKL	SKL-009	SKL-009	Resonator	Dragon	{w}{4}	5	1200	1200	Light	U	[Flying] (This card cannot be blocked by J/resonators without [Flying].) You may pay {2} less to play this card for each resonator you control that entered your field this turn.
Heavenly Garden of Armalla	SKL	SKL-010	SKL-010	Addition:Field		{w}{1}	2			Light	R	Resonators you control with [Flying] gain [+200/+200].{w}{w}, [Rest] Rest target resonator without [Flying].
Herald of the Winged Lord	SKL	SKL-011	SKL-011	Resonator	Wingman	{w}{2}	3	600	600	Light	C	[Flying] (This card cannot be blocked by J/resonators without [Flying].) Prevent all damage that would be dealt to this card by fire resonators.
Invigoration of the Winged Lord	SKL	SKL-012	SKL-012	Spell:Chant		{w}{w}{1}	3			Light	R	Choose one-Resonators you control gain [Flying] until end of turn. At the end of this turn, recover all resonators you control;or look at the top four cards of your main deck. You may put a light resonator with total cost 4 or less from among them into your field. Put the rest on the bottom of your main deck in any order.
Little Angel of Armalla	SKL	SKL-013	SKL-013	Resonator	Angel	{w}	1	300	300	Light	C	[Flying] (This card cannot be blocked by J/resonators without [Flying].) Banish this card: You gain 300 life.
Order of Sacred Queen	SKL	SKL-014	SKL-014	Spell:Chant		{w}{w}{1}	3			Light	C	Rest target resonator. Resonators you control gain [+400/+400] until end of turn.
Protection of the Seraph	SKL	SKL-015	SKL-015	Addition:Resonator		{w}	1			Light	C	Added resonator cannot be attacked or targeted by spells or abilities your opponent controls.
Protective Barrier	SKL	SKL-016	SKL-016	Spell:Chant-Instant		{w}	1			Light	U	Prevent all damage that would be dealt to target resonator until end of turn.
Wingman of Armalla	SKL	SKL-017	SKL-017	Resonator	Wingman	{w}{1}	2	300	600	Light	C	[Flying] (This card cannot be blocked by J/resonators without [Flying].) [Rest] Target resonator gains [Flying] until end of turn.
Alice's Little Assault Force	SKL	SKL-018	SKL-018	Resonator	Soldier	{r}	1	300	300	Fire	C	Banish this card: This card deals 200 damage to target player or resonator.
Certo, the Blazing Volcano	SKL	SKL-019	SKL-019	Addition:Field		{r}{1}	2			Fire	U	Players cannot gain life.Whenever a resonator is put into a graveyard from a field, this card deals 100 damage to each player.
Dragoon of Certo	SKL	SKL-020	SKL-020	Resonator	Knight	{r}{1}	2	500	500	Fire	C	[Target Attack] (This card can attack recovered J/resonators.)
Draig, the Red Dragon	SKL	SKL-021	SKL-021	Resonator	Dragon	{r}{4}	5	1200	1200	Fire	U	[Flying] (This card cannot be blocked by J/resonators without [Flying].) You may pay {1} less to play this card for each resonator put into a graveyard from your field this turn.
Familiar of Primogenitor	SKL	SKL-022	SKL-022	Resonator	Demon	{r}	1	400	100	Fire	C	{r}, banish this card: Target resonator gains [+400/0] until end of turn.
Fear of Battle	SKL	SKL-023	SKL-023	Addition:Resonator		{r}	1			Fire	C	Added resonator cannot block. {r}{r}: Add this card to another target resonator.
Flame Cat	SKL	SKL-024	SKL-024	Resonator	Magical Beast	{r}{1}	2	500	400	Fire	C	[First Strike] (While attacking, this card deals battle damage first to the blocker or attacked object.)
Flame King's Shout	SKL	SKL-025	SKL-025	Spell:Chant		{r}{r}{1}	3			Fire	C	This card deals 400 damage to each resonator your opponent controls. Then you may put a fire resonator with total cost 3 or less from your hand into your field. It gains [Swiftness] until end of turn.
Gareth, the Dauntless Knight	SKL	SKL-026	SKL-026	Resonator	Knight of the Round Table	{r}{r}{1}	3	800	800	Fire	U	[Target Attack] (This card can attack recovered J/resonators.) If this card would be dealt 700 or less damage, prevent it.
Melgis, the Flame King | Melgis, the One Charmed by the Demon Sword	SKL	SKL-027-r,SKL-027-j	SKL-027	Ruler	Seven Kings			0 | 1000	0 | 500	Fire	R	[J-Activate] Pay {r}{r}. {r}{r}: This card deals 200 damage to target opponent. | [First Strike] (While attacking, this card deals battle damage first to the blocker or attacked object.) When this card enters your field, put the top card of your magic stone deck into your magic stone area.{r}, banish a magic stone or resonator: This card deals 300 damage to target resonator.God's Art &lt;:Unleash the Demon Sword&gt; {r}{r}{4}: Destroy target resonator. This card gains [+X/+0] until end of turn, where X is the ATK of the destroyed resonator. Play God's Art &lt;Unleash the Demon Sword&gt; only once per game.
Ouroboros, the Snake of Reincarnation	SKL	SKL-028	SKL-028	Resonator	Twelve Apostles/Snake	{r}{r}{r}{r}{r}	5	2000	2000	Fire	SR	When this card enters your field, remove all cards in your main deck from the game. Then shuffle all magic stones from your graveyard into your magic stone deck and shuffle all other cards from your graveyard into your main deck.When this card is put into a graveyard from your field, put it on the bottom of its owner's main deck.
Phantom of Primogenitor	SKL	SKL-029	SKL-029	Spell:Chant		{r}{r}{3}	5			Fire	R	You may put a resonator from your hand into your field.
Shadow Flame	SKL	SKL-030	SKL-030	Spell:Chant-Instant		{r}{1}	2			Fire	C	[Remnant] (You may play this card from your graveyard. If you do, remove it from the game instead of putting it anywhere else any time it would leave the chase.)This card deals 500 damage to target resonator.
Snow White, the Valkyrie of Passion	SKL	SKL-031	SKL-031	Resonator	Fairy Tale	{r}{r}{1}	3	500	700	Fire	SR	[Swiftness] [First Strike] Whenever this card attacks, put a passion counter on it.Whenever this card attacks, it may deal 300 damage to target resonator for each passion counter on it. If it does, remove all passion counters from it.
War Dance of the Valkyries	SKL	SKL-032	SKL-032	Spell:Chant-Instant		{r}{r}{1}	3			Fire	U	You may rest a recovered "Snow White, the Valkyrie of Passion" you control and a recovered "Cinderella, the Valkyrie of Glass" you control rather than pay this card's cost.This card deals 600 damage to target player or J/resonator.
Zhu Que, the Sacred Beast	SKL	SKL-033	SKL-033	Resonator	Four Sacred Beasts	{r}{1}	2	400	400	Fire	R	[Swiftness] (This card can attack and play its Rest abilities the same turn it enters a field.) When this card enters your field, it deals 200 damage to target resonator for each Four Sacred Beasts you control.
Alice's Castling	SKL	SKL-034	SKL-034	Spell:Chant-Instant		{u}	1			Water	C	Put target resonator you control on the bottom of its owner's main deck. If you do, you may put a resonator with the same total cost from your hand into your field. Draw a card.
Alice's Little Scout	SKL	SKL-035	SKL-035	Resonator	Soldier	{u}	1	200	200	Water	C	When this card is put into a graveyard from your field, draw a card.
Charm of the Princess	SKL	SKL-036	SKL-036	Spell:Chant		{u}{u}	2			Water	R	Gain control of target resonator with total cost X or less.
Cinderella, the Valkyrie of Glass	SKL	SKL-037	SKL-037	Resonator	Fairy Tale	{u}{u}	2	200	800	Water	SR	When this card enters your field, put a glass counter on it.This card gains [+600/0] as long as it has a glass counter on it.Whenever this card deals damage, remove a glass counter from it.{u}{u}: Return this card to its owner's hand.
Euryale, the Dark Eye of Blindness	SKL	SKL-038	SKL-038	Resonator	Gorgon	{u}{2}	3	600	500	Water	U	When this card enters your field, rest target resonator. It doesn't recover during the recovery phase as long as this card is in a field.{u}: Target Gorgon gains [+200/0] until end of turn. Play this ability only once per turn.
Foresee	SKL	SKL-039	SKL-039	Spell:Chant		{u}{u}	2			Water	C	Draw two cards.
Heat Gaze	SKL	SKL-040	SKL-040	Addition:Resonator		{u}{1}	2			Water	C	Added resonator gains "As your opponent plays a spell or ability targeting a resonator you control, he or she must choose this card as one of its targets if able."As long as this card is added to a water resonator, it gains "Prevent all damage that would be dealt to this card by spells or abilities."
Medusa, the Dead Eye of Petrification	SKL	SKL-041	SKL-041	Resonator	Gorgon	{u}{2}	3	600	600	Water	SR	Whenever this card blocks or is blocked by a resonator, put that resonator on the bottom of its owner's main deck.{u}: Gorgons you control gain [+200/+200] until end of turn. Play this ability only once per turn.
Petrifying Gaze	SKL	SKL-042	SKL-042	Spell:Chant-Instant		{u}{u}{1}	3			Water	U	Put target resonator your opponent controls on the bottom of its owner's main deck. Your opponent puts the top card of his or her magic stone deck into his or her magic stone area.
Sailor of Shangri-La	SKL	SKL-043	SKL-043	Resonator	Human	{u}{3}	4	900	900	Water	C	When this card enters your field, return target resonator to its owner's hand.
Shangri-La, the Paradise on the Ocean	SKL	SKL-044	SKL-044	Addition:Field		{u}{1}	2			Water	R	When this card enters your field, draw a card.Water resonators you control gain [+100/+100].As long as you have five or more cards in your hand, water resonators you control gain [+100/+100].
Squire of the Ocean Lady	SKL	SKL-045	SKL-045	Resonator	Human	{u}{1}	2	400	400	Water	C	When this card enters your field, draw a card.
Stheno, the Evil Eye of Temptation	SKL	SKL-046	SKL-046	Resonator	Gorgon	{u}{2}	3	500	600	Water	U	When this card enters your field, target resonator loses all abilities as long as this card is in a field.{u}: Target Gorgon gains [0/+200] until end of turn. Play this ability only once per turn.
Trader of Shangri-La	SKL	SKL-047	SKL-047	Resonator	Human	{u}	1	100	100	Water	C	[Rest] Draw a card, then put a card from your hand on the bottom of your main deck.
Valentina, the Princess of Love | Valentina, the Ruler of Paradise	SKL	SKL-048-r,SKL-048-j	SKL-048	Ruler	Seven Kings			0 | 500	0 | 500	Water	R	[J-Activate] {u}{u} {u}{u}: You may put a water resonator with total cost 2 or less from your hand into your field. | When this card enters your field, put the top card of your magic stone deck into your magic stone area.Prevent all damage that would be dealt to this card during your turn.This card gains [+100/+100] for each card into your hand.God's Art &lt;Chain of Love&gt; {u}{u}{2}: Gain control of target resonator. (Play God's Art &lt;Chain of Love&gt; only once per game.)
Xuan Wu, the Sacred Beast	SKL	SKL-049	SKL-049	Resonator	Four Sacred Beasts	{u}{2}	3	500	700	Water	R	When this card enters your field, return target resonator to its owner's hand if its total cost is less than or equal to the number of Four Sacred Beasts.Whenever this card blocks, prevent the next damage it would be dealt until end of turn.
Afanc, the Phantom Beast	SKL	SKL-050	SKL-050	Resonator	Beast	{g}{1}	2	600	600	Wind	U	When this card enters your field, target resonator gains [+200/+200] until end of turn.
Alice's Little Guardian	SKL	SKL-051	SKL-051	Resonator	Soldier	{g}	1	200	200	Wind	C	Banish this card: Prevent all damage that would be dealt by target resonator until end of turn.
Behemoth, the Earth Eater	SKL	SKL-052	SKL-052	Resonator	Twelve Apostles/Beast	{g}{g}{3}	5	1500	1500	Wind	R	Whenever this card deals damage to a resonator while attacking, it deals that much damage to your opponent.
Blessing of Yggdrasil	SKL	SKL-053	SKL-053	Spell:Chant		{g}{1}	2			Wind	C	Search your magic stone deck for a card and put it into your magic stone area rested. Then shuffle your magic stone deck.
Branch of Yggdrasil	SKL	SKL-054	SKL-054	Addition:Resonator		{g}	1			Wind	C	When this card enters your field, draw a card.Added resonator gains [0/+400].
Elite Commander	SKL	SKL-055	SKL-055	Resonator	Human	{g}{g}{1}	3	700	700	Wind	U	Rest two recovered Beasts you control: Produce {g}.Rest three Beasts you control: Reveal the top card of your main deck. If it's a Beast resonator, put it into your hand.
Guardian of the Forest	SKL	SKL-056	SKL-056	Resonator	Beast	{g}{2}	3	700	700	Wind	C	{g}: This card gains [+200/+200] until end of turn. Play this ability only once per turn.
Herald of the Beast Lady	SKL	SKL-057	SKL-057	Resonator	Beast	{g}	1	400	400	Wind	C	
Keen Sense	SKL	SKL-058	SKL-058	Spell:Chant-Instant		{g}{1}	2			Wind	U	Choose one- Cancel target normal spell; or destroy target card in a chant-standby area.
Pricia, the Beast Lady | Pricia, the Commander of the Sacred Beasts	SKL	SKL-059-r,SKL-059-j	SKL-059	Ruler	Seven Kings			0 | 800	0 | 800	Wind	R	[J-Activate] {g}{g}You may pay the attribute cost of Four Sacred Beasts resonators with will of any attribute.{g}{g}: Target Beast or Four Sacred Beasts gains [+100/+100] until end of turn. | This card gains [Target Attack] as long as you control a light resonator, [Swiftness] as long as you control a fire resonator, [Flying] as long as you control a water resonator and [+200/+200] as long as you control a wind resonator.God's Art &lt;Summon the Sacred Beasts&gt; {g}{g}{g}: Search your main deck for up to X Four Sacred Beasts resonators with different names, reveal them and put them into your hand. Then put up to X Four Sacred Beasts resonators with different names from your hand into your field and shuffle your main deck. (Play God's Art &lt;Summon the Sacred Beasts&gt; only once per game.)
Qing Long, the Sacred Beast	SKL	SKL-060	SKL-060	Resonator	Four Sacred Beasts	{g}{g}{1}	3	800	800	Wind	SR	When this card enters your field, if you control another Fours Sacred Beasts, draw a card.{1}: Other Four Sacred Beasts resonators you control gain [+200/+200] until end of turn. Play this ability only once per turn.
Rapid Growth	SKL	SKL-061	SKL-061	Spell:Chant-Instant		{g}	1			Wind	C	[Remnant] (You may play this card from your graveyard. If you do, remove it from the game instead of putting it anywhere else any time it would leave the chase.)Target J/resonator gains [+400/+400] until end of turn.
Ratatoskr, the Spirit Beast of Yggdrasil	SKL	SKL-062	SKL-062	Resonator	Beast	{g}	1	0	200	Wind	SR	Beasts you control cannot be targeted by spells or abilities your opponent controls during your opponent's turn.Wind resonators in you hand gain [Quickcast].Whenever another resonator enters your field, this card gains [+200/+200] until end of turn.
Sissei, the Ancient Forest	SKL	SKL-063	SKL-063	Addition:Field		{g}{1}	2			Wind	R	Beasts and Four Sacred Beasts you control gain [+200/+200].Whenever a resonator is put into a graveyard from your field, you may pay {g}{g}{1}. If you do, draw a card.
Sprint of the Beast Lady	SKL	SKL-064	SKL-064	Spell:Chant		{g}{g}{1}	3			Wind	R	J/resonators you control gain [+600/+600] until end of turn.
Sprinting Wolf	SKL	SKL-065	SKL-065	Resonator	Beast	{g}{g}	2	600	500	Wind	C	[Target Attack] (This card can attacl recovered J/resonators.)
Arthur, the Dead Lord of Vengeance	SKL	SKL-066	SKL-066	Resonator	Zombie	{b}{b}{2}	4	1000	1000	Dark	SR	Other darkness resonators gain [+200/+200].Non-darkness resonators gain [-200/-200].Remove three resonators in your graveyard from the game: Put this card from your graveyard into your hand.
Dark Purge	SKL	SKL-067	SKL-067	Spell:Chant-Instant		{b}{1}	2			Dark	C	Target J/resonator gain [-600/-600] until end of turn.
Endless Night	SKL	SKL-068	SKL-068	Spell:Chant-Instant		{b}{b}{1}	3			Dark	U	Destroy target resonator your opponent controls. Then all resonators gain [-200/-200] until end of turn.
Forbidden Spell of the Undead Lord	SKL	SKL-069	SKL-069	Spell:Chant		{b}{b}{2}	4			Dark	R	[Remnant] (You may play this card from your graveyard. If you do, remove it from the game instead of putting it anywhere else any time it would leave the chase.)Put target resonator from your graveyard into your hand. Then you may put a darkness resonator with total cost 3 or less from your hand into your field.
Herald of the Undead Lord	SKL	SKL-070	SKL-070	Resonator	Vampire	{b}{1}	2	500	500	Dark	C	[Stealth] Your J/ruler is "Rezzard, the Undead Lord" or "Rezzard, the Desecrating Vampire". (While this card is in your chant-standby area, you may play it without paying its cost when its [Stealth] condition is met.)
Hunter of Souls	SKL	SKL-071	SKL-071	Resonator	Reaper	{b}{2}	3	700	700	Dark	C	Whenever a resonator is put into a graveyard from your opponent's field, this card deals 200 damage to you opponent and you gain 200 life.
Merlin, the Wizard of Distress	SKL	SKL-072	SKL-072	Resonator	Zombie	{b}{b}{1}	3	600	600	Dark	R	[Stealth] When your opponent discards a card while you control a darkness magic stone. (While this card is in your chant-standby area, you may play it without paying its cost when its [Stealth] condition is met.)When this card enters your field from a chant-standby area, target resonator your opponent controls gain [-700/-700] until end of turn.
Necromancy of the Undead Lord	SKL	SKL-073	SKL-073	Addition:Resonator		{b}	1			Dark	C	Added resonator gains Zombie in addition to its own races.Added resonator gains [+200/+200].Whenever a resonator enters your field, you may add this card from your graveyard to that resonator.
Niflheim, the Realm of the Dead	SKL	SKL-074	SKL-074	Addition:Field		{b}{1}	2			Dark	R	Zombies you control gains [+200/+200].Banish this card: Put the top five cards of your main deck into your graveyard.
Persephone, the Nether Empress	SKL	SKL-075	SKL-075	Resonator	Queen	{b}{b}{2}	4	700	700	Dark	SR	[Stealth] Your J/ruler is "Rezzard, the Undead Lord" or "Rezzard, the Desecrating Vampire" and you have more than ten or more cards in your graveyard. (While this card is in your chant-standby area, you may play it without paying its cost when its [Stealth] condition is met.)When this card enters your field from a chant-standby area, put target resonator with total cost 4 or less from your graveyard into your field.
Prowler of Niflheim	SKL	SKL-076	SKL-076	Resonator	Zombie	{b}	1	300	300	Dark	C	When this card enters your field, put the top two cards of your main deck into your graveyard.
Rezzard, the Undead Lord | Rezzard, the Desecrating Vampire	SKL	SKL-077-r,SKL-077-j	SKL-077	Ruler	Seven Kings/Vampire			0 | 500	0 | 500	Dark	R	[J-Activate] {b}{b}. {b}{b}: Put the top two cards of your main deck into your graveyard. | Imperishable When this card enters your field, you may puy up to two cards from your hand into your chant-standby area face down.This card gains [+200/+200] for each card in your chant-standby area.God's Art &lt;March of Undead&gt; {b}{b}{4}: Remove any number of resonators in your graveyard from the game. For each card removed this way, each player banishes a resonator and discards a card. (Play God's Art &lt;March of Undead&gt; only once per game.)
Scion of Ancient Lore	SKL	SKL-078	SKL-078	Resonator	Vampire	{b}{b}{1}	3	700	700	Dark	U	When this card enters your field, it deals 400 damage to your opponent and you gain 400 life.
Soulhunt	SKL	SKL-079	SKL-079	Spell:Chant		{b}	1			Dark	C	Each player banishes a resonator, then each player discards a card.
Soulless Soldier	SKL	SKL-080	SKL-080	Resonator	Zombie	{b}{b}	2	600	500	Dark	C	When this card enters your field, put the top two cards of your main deck into your graveyard.
Underground Dragger	SKL	SKL-081	SKL-081	Resonator	Zombie	{b}{b}{1}	3	700	700	Dark	U	[Stealth] You control a darkness magic stone and a resonator was put into a graveyard from your field this turn. (While this card is in your chant-standby area, you may play it without paying its cost when its [Stealth] condition is met.)When this card enters your field from a chant-standby area, destroy target resonator your opponent controls that dealt damage this turn.
