Name	Set	ImageFile	SetID	Type	Subtype/Race	Cost	T.Cost	ATK	DEF	Attribute	Rarity	Cardtext
Tinker Bell, the Fairy	SDL1	SDL1-011	SDL1-011	Resonator	Fairy Tale/Fairy	{w}	1	100	100	Light	R	[Flying] This card gains [+200/+200] for each other Fairy Tale resonator you control.
Charlatan's Tricks	SDL2	SDL2-001	SDL2-001	Chant		{r}	1			Fire	R	Search your deck for a card named as target resonator or addition you control, reveal it and put it into your hand. Then shuffle your deck. If you control "Fayli, the Charlatan", you may put it into your field instead.
Emissary of R'lyeh	SDL2	SDL2-002	SDL2-002	Resonator	Cthulhu	{r}	1	500	400	Fire	C	[Swiftness] This card cannot attack your opponent.
Fayli, the Charlatan	SDL2	SDL2-003	SDL2-003	Resonator	Human/Charlatan	{r}{2}	3	800	800	Fire	C	
Gentle Goat	SDL2	SDL2-004	SDL2-004	Resonator	Goat	{r}	1	300	300	Fire	C	This card gains [+200/+200] as long as you control a Cthulhu J/resonator.
Hastur, Chasing the Goats	SDL2	SDL2-005	SDL2-005	Resonator	Human/Cthulhu	{r}{r}{1}	3	900	900	Fire	SR	[Limit] 2 This card gains [Swiftness] as long as your J/ruler is "Lunya, the Wolf Girl" or "Nyarlathotep, the True False Legend". Whenever this card attacks or blocks => It deals 400 damage to target J/resonator. At the end of turn => If there are no limit counters on this card, return it to its owner's hand.
Lightning Strike	SDL2	SDL2-006	SDL2-006	Chant		{r}	1			Fire	R	[Quickcast] Choose one - This card deals 500 damage to target J/resonator; or this card deals 500 damage to your opponent.
Lunya, the Wolf Girl | Nyarlathotep, the True False Legend	SDL2	SDL2-007-r,SDL2-007-j	SDL2-007	Ruler	Human			0 | 1200	0 | 800	Fire	R	[Judgment] {r}{r}{2} [Energize] {r} (As the game starts, if you are not the player going first, you get a will coin with "Banish this coin: Produce {r}.")Whenever a resonator you control attacks => This card deals 100 damage to target resonator. | [Swiftness] [Limit] 2 (This card enters your field with two limits counters on it. Whenever this card attacks or blocks => Remove a limit counter from it.) When this card enters your field => It deals 800 damage to target resonator. At the end of turn => Is there are no limit counters on this card, put it into your ruler area, as a ruler.
Lunya's Best Friend	SDL2	SDL2-008	SDL2-008	Resonator	Wolf	{r}{1}	2	600	600	Fire	C	When this card enters your field => Target J/resonator gains [+200/0] until end of turn.
Niggurath, the Shepherd	SDL2	SDL2-009	SDL2-009	Resonator	Human/Cthulhu	{r}{r}{3}	5	1200	1200	Fire	SR	[Limit] 1 When this card enters your field or whenever it attacks => Search your deck for a card named "Gentle Goat", and put it into your field. Then shuffle your deck.Banish a Goat: Put two limit counters on this card.At the end of turn => If there are no limit counters on this card, return it to its owner's hand.
Nightmares of R'lyeh	SDL2	SDL2-010	SDL2-010	Chant		{r}{r}{r}	3			Fire	U	[Quickcast] Target J/resonator gains [+1000/-1000] until end of turn.
R'lyeh, World of No Lies	SDL2	SDL2-011	SDL2-011	Addition		{r}{1}	2			Fire	U	When this card enters your field => Put a limit counter on each J/resonator you control with [Limit]. Cthulhu J/resonators you control gain [+200/+200].
Ancient Frozen Casket	SDL3	SDL3-001	SDL3-001	Addition		{u}{2}	3			Water	U	When this card enters your field => Rest target resonator. It doesn't recover during the recovery phase as long as this card is in a field. {u}: Return this card to its owner's hand.
Ancient Knowledge	SDL3	SDL3-002	SDL3-002	Chant		{u}{u}{2}	4			Water	R	[Quickcast] Look at the top five cards of your deck. Put two cards from among them into your hand. Put the rest on the bottom of your deck in any order.
Astaroth, Great Duke of Hell	SDL3	SDL3-003	SDL3-003	Resonator	Seven Luminaries Demon	{u}{u}	2	500	500	Water	SR	[Flying] When this card enters your field => If your J/ruler is "Mercurius, Wizard of the Water Star" or "Mercurius, Dark Commander of Ice", draw a card. {u}{u}: Return this card to its owner's hand.
Ice Dragon of Altea	SDL3	SDL3-004	SDL3-004	Resonator	Dragon	{u}{u}{7}	9	1200	1200	Water	SR	[Flying] You may pay {1} less to play this card for each card in your hand.
Keeper of the Frozen Casket	SDL3	SDL3-005	SDL3-005	Resonator	Ancient/Automaton	{u}	1	300	500	Water	C	Additions you control gain [Barrier]. (Cards you control with [Barrier] cannot be targeted by spells or abilities your opponent controls.)
Malefic Ice Wall	SDL3	SDL3-006	SDL3-006	Chant		{u}	1			Water	C	[Quickcast] Target J/resonator gains [-1000/0] until end of turn.
Mercurius, Wizard of the Water Star | Mercurius, Dark Commander of Ice	SDL3	SDL3-007-r,SDL3-007-j	SDL3-007	Ruler	Seven Luminaries Mage			0 | 1000	0 | 1000	Water	R	[Judgment] {u}{u}{1} [Energize] {u} (As the game starts, if you are not the player going first, you get a will coin with "Banish this coin: Produce {u}.") Mana 2 (As the game starts, put two mana counters on this card.) Remove a mana counter from this card: Produce {u}. Spend this will only to play Ancient Magic cards. | Mana 5 (This card enters your field with five mana counters on it.) As this card enters your field, you may remove a card named "Astaroth, Great Duke of Hell" in your hand from the game. If you do, this card enters your field with five mana counters on it. This card gains [Flying] as long as a card named "Astaroth, Great Duke of Hell" is in your removed area and was removed by this card. Remove a mana counter from this card: Produce {u}. Spend this will only to play Ancient Magic cards.
Mercurius' Icy Spear	SDL3	SDL3-008	SDL3-008	Chant		{u}{u}{1}	3			Water	U	Return target resonator to its owner's hand and rest target resonator.
Messenger of Altea	SDL3	SDL3-009	SDL3-009	Resonator	Ancient	{u}{1}	2	500	700	Water	C	
Servant of Mercurius	SDL3	SDL3-010	SDL3-010	Resonator	Ancient	{u}	1	200	200	Water	C	When this card enters your field => Put a mana counter on your J/ruler. Remove a mana counter from your J/ruler: This card gains [+300/+300] until end of turn. Play this ability only once per turn.
Spirit of Ice	SDL3	SDL3-011	SDL3-011	Resonator	Spirit	{u}{u}{1}	3	800	800	Water	R	When this card enters your field => Return target rested resonator to its owner's hand.
Aria, Friendly Vampire	SDL4	SDL4-001	SDL4-001	Resonator	Vampire	{g}{g}{1}	3	600	600	Wind	SR	[Barrier] {d} (This card cannot be targeted by darkness spells or abilities your opponent controls.) Other wind J/resonators you control gain [+200/+200].
Fiethsing, Six Sage of Wind | Fiethsing, Master Magus of Holy Wind	SDL4	SDL4-002-r,SDL4-002-j	SDL4-002	Ruler	Elf/Six Sages			0 | 800	0 | 800	Wind	R	[Judgment] {g}{g}{3} [Energize] {g} (As the same starts, if you are not the player going first, you get a will coin with "Banish this coin: Produce {g}.") Whenever you play your second card each turn => Put a [100/100] wind Elf resonator token into your field. | Other Elves you control gain [+400/+400]. Whenever you play your second card each turn => Put two [100/100] wind Elf resonator tokens into your field.
Great Holy Sealing Wave	SDL4	SDL4-003	SDL4-003	Chant		{g}{g}	2			Wind	R	Choose one - Put target resonator with total cost 2 or less on the bottom of its owner's deck; [Torrent] (As you play this card, if you played one or more other cards this turn, it gains the following text.) Put target resonator with total cost 4 or less on the bottom of its owner's deck.
Home of the Sages	SDL4	SDL4-004	SDL4-004	Addition		{g}{1}	2			Wind	U	[Rest] Produce {w}, {r}, {u}, {g}, or {d}. Play this ability only if you played a card this turn. [Rest] {2}, banish this card: Draw a card.
Sacred Elf	SDL4	SDL4-005	SDL4-005	Resonator	Elf	{g}	1	200	300	Wind	C	[Rest] Produce {g}.
Spirit of Wind	SDL4	SDL4-006	SDL4-006	Resonator	Spirit	{g}{g}	2	500	500	Wind	C	[Flying] When this card enters your field => If you played two or more cards this turn, recover target magic stone.
Tama, Familiar of Holy Wind	SDL4	SDL4-007	SDL4-007	Resonator	Familiar/Cat	{g}	1	200	200	Wind	R	When this card enters your field => Draw a card. Banish this card: This card deals 200 damage to target resonator.
Torrent Elf	SDL4	SDL4-008	SDL4-008	Resonator	Elf	{g}{1}	2	500	600	Wind	C	When this card enters your field => If you played two or more cards this turn, draw a card.
Two-Fold Chant	SDL4	SDL4-009	SDL4-009	Chant		{g}{1}	2			Wind	U	[Quickcast] Cancel target spell unless its controller pays {1}. [Torrent] (As you play this card, if you played one or more other cards this turn, it gains the following text.) Cancel that spell instead.
Vampire Hunter Christie	SDL4	SDL4-010	SDL4-010	Resonator	Elf	{g}{g}{2}	4	1000	1000	Wind	SR	When this card enters your field => If you played two or more cards this turn, this card and target J/resonator your opponent controls deal damage equal to their ATK to each other. {g}: This card gains [+200/+200] until end of turn. Play this ability only if your J/ruler is "Fiethsing, Six Sage of Wind" or "Fiethsing, Master Magus of Holy Wind".
Whispers from the Wind	SDL4	SDL4-011	SDL4-011	Chant		{g}	1			Wind	C	[Quickcast] Reveal the top card of your deck. This turn, you may pay {g} less to play your next card if it shares a name with the revealed card. Draw a card.
Ally of the Black Moon | Eternal Vampire, Mikage Seijuro	SDL5	SDL5-001-r,SDL5-001-j	SDL5-001	Ruler	Wanderer			0 | 900	0 | 900	Darkness	R	[Judgment] {d}{d}{1} [Energize] {d} (As the game starts, if you are not the player going first, you get a will coin with "Banish this coin: Produce {d}.") {d}: This card deals 100 damage to target resonator. Put a blood counter on this card. | Imperishable [Flying] Remove a blood counter from this card: Choose one - Target J/resonator gains [-100/-100] until end of turn; or this card gains [+200/0] until end of turn; or you gain 200 life; or put a [+100/+100] counter on target Vampire resonator.
Blood of the Mikage	SDL5	SDL5-002	SDL5-002	Chant		{d}	1			Darkness	C	Target J/resonator you control gains [+800/+800] and Precision until end of turn. At the next end of turn, destroy it. (Card you control with Precision can attack recovered J/resonators.)
Castle of Oni	SDL5	SDL5-003	SDL5-003	Addition		{d}{d}{1}	3			Darkness	U	Darkness J/resonators you control gain [+200/+200]. [Rest] banish this card: Put target card from your graveyard into your hand.
Faithful Hellhound	SDL5	SDL5-004	SDL5-004	Resonator	Fairy Tale	{d}{2}	3	700	500	Darkness	U	When this card enters your field => Each player banishes a resonator.
Heaven Bound Pheasant	SDL5	SDL5-005	SDL5-005	Resonator	Fairy Tale	{d}{1}	2	400	300	Darkness	C	[Flying] When this card is put into a graveyard from your field => Your opponent discards a card.
Momotaro of the Sanzu River	SDL5	SDL5-006	SDL5-006	Resonator	Fairy Tale	{d}{d}	2	600	600	Darkness	SR	This card gains [+300/+300] as long as you control four or more resonators.
Oni Strike	SDL5	SDL5-007	SDL5-007	Chant		{d}{d}{1}	3			Darkness	C	[Quickcast] Destroy target resonator. If you control an Oni, this card deals 500 damage to your opponent.
Power Absorption	SDL5	SDL5-008	SDL5-008	Chant		{d}{d}	2			Darkness	C	[Quickcast] This card deals 600 damage to target J/resonator, plus an additional 100 damage for each Vampire you control. Put a [+100/+100] counter on each Vampire you control.
Shara, Third Daughter of the Mikage	SDL5	SDL5-009	SDL5-009	Resonator	Vampire	{d}	1	500	500	Darkness	SR	This card cannot attack as long as there are no [+100/+100] counters on it. {d}{d}{1}: This card deals 200 damage to target resonator. Put a [+100/+100] counter on this card. If you J/ruler is "Ally of the Black Moon" or "Eternal Vampire, Mikage Saijuro", put two [+100/+100] counters on this card instead.
The Drunken Oni	SDL5	SDL5-010	SDL5-010	Resonator	Oni	{d}{d}{3}	5	1300	1300	Darkness	R	When this card enters your field => Search your deck for a card named "Castle of Oni", reveal it and put it into your hand. Then shuffle your main deck.
The Monkey Trapped in Life	SDL5	SDL5-011	SDL5-011	Resonator	Fairy Tale	{d}	1	100	100	Darkness	C	When this card is put into a graveyard from your field => Return it to its owner's hand. You loose 100 life.
Dreaming Girl, Wendy	CFC	CFC-001	CFC-001	Resonator	Fairy Tale	{w}	1	200	300	Light	R	Whenever another Fairy Tale resonator enters your field => Recover this card.This card gains [+200/+200] as long as you control a magic stone and control no special magic stones.As long as you control "Eternal Boy, Peter Pan", this card cannot be attacked and gains [Flying].
Dreams of Flight	CFC	CFC-002	CFC-002	Chant		{w}	1			Light	C	[Quickcast] [Remnant] Force 1 (Roll a die.) Target J/resonator gains [+X00/+X00] and [Flying] until end of turn, where X is the result of the roll.
Escape from Crisis	CFC	CFC-003	CFC-003	Chant		{w}	1			Light	C	[Quickcast] Recover target attacked or blocking resonator. Prevent the next damage that would be dealt to it this turn.
Eternal Boy, Peter Pan	CFC	CFC-004	CFC-004	Resonator	Fairy Tale	{w}{2}	3	500	600	Light	SR	[Flying] When this card enters your field => Search you deck for a Fairy Tale resonator with total cost 1 and put it into your field. Then shuffle your deck.
Fairy of Neverland	CFC	CFC-005	CFC-005	Resonator	Fairy Tale/Fairy	{w}{1}	2	500	500	Light	C	[Flying] Fairy Tale resonators you control with total cost 1 gain [Flying].
Glorius, the Silver Knight	CFC	CFC-006	CFC-006	Resonator	Human	{w}{w}{1}	3	600	700	Light	SR	[Quickcast] When this card enters your field => Destroy target J/resonator that dealt damage this turn. {r}: This card gains [+200/0] and [First Strike] until end of turn.
Glorius' Summoned Soldier	CFC	CFC-007	CFC-007	Resonator	Heroic Spirit	{w}{1}	2	600	600	Light	C	When another J/resonator enters your field => It gains [+200/+200] until end of turn.
Neverland, the Parallel World	CFC	CFC-008	CFC-008	Addition		{w}{w}{1}	3			Light	U	At the beginning of your turn => Remove the top card of your deck from the game. If it's a Fairy Tale resonator, you may play it this turn.
Pandora, the Hope Weaving Queen	CFC	CFC-009	CFC-009	Resonator	Human	{w}{w}	2	200	1000	Light	R	If you would roll one or more dice using Force, roll that many dice plus one instaed.
Pandora's Mark of Hope	CFC	CFC-010	CFC-010	Addition		{w}	1			Light	U	Bestowed resonator gains [+400/+400]. When bestowed resonator is put into a graveyard from a field => Force 1 (Roll a die.) You gain 200 life multiplied by the result of the roll. Bestow {w}, [Rest] (Bestow this card to target resonator. Play this ability only if this card is not bestowed to a card and only anytime you can play a chant.)
Pumpkin Carriage	CFC	CFC-011	CFC-011	Resonator	Fairy Tale	{w}{w}{1}	3	200	1200	Light	U	[Rest] Target Fairy Tale resonator gains [+200/+1200] until end of turn.
Retelling Stories	CFC	CFC-012	CFC-012	Chant		{w}{1}	2			Light	C	Put any number of target Fairy Tale resonators from your graveyard on top of your deck in any order. Draw a card.
Safeguard of the Light Palace	CFC	CFC-013	CFC-013	Resonator	Human	{w}{2}	3	700	700	Light	C	When this card enters your field => Destroy target addition. {w}: This card gains [0/+200] until end of turn.
Storytelling Bard	CFC	CFC-014	CFC-014	Resonator	Human	{w}	1	300	300	Light	C	[Rest] You gain 200 life.
Zero, Six Sage of Light | Zero, Master of the Magic Saber	CFC	CFC-015-r,CFC-015-j	CFC-015	Ruler	Human/Six Sages			0 | 1100	0 | 1100	Light	JR	[Judgment] {w}{w} [Energize] {w} {w}: Target resonator gains [+100/+100] until end of turn. {d}: Target J/resonator loses [Flying], [First Strike], [Swiftness], [Precision] and Imperishable until end of turn. | [Precision] Prevent all damage that would be dealt to this card while it is battling.J/resonators your opponent controls lose and cannot gain [Flying], [First Strike], [Swiftness], [Precision], and Imperishable.
Zero's Familiar	CFC	CFC-016	CFC-016	Resonator	Beast	{w}{1}	2	500	500	Light	U	[Flying] Your J/ruler gains [Barrier]. (Cards you control with [Barrier] cannot be targeted by spells or abilities your opponent controls.) This card gains [+300/+300] as long as you control "Zero, Master of the Magic Saber".
Zero's Magic Light	CFC	CFC-017	CFC-017	Chant		{w}{w}	2			Light	R	[Quickcast] If your J/ruler is "Zero, Six Sage of Light" or "Zero, Master of the Magic Saber", you may pay {w} less to play this card. Remove target attacking or blocking resonator from the game.
Ancient Heartfelt Fire	CFC	CFC-018	CFC-018	Chant		{r}	1			Fire	U	[Quickcast] Choose one - This card deals 400 damage to target J/resonator; or put three mana counters on your J/ruler.
Combat Wizard of Altea	CFC	CFC-019	CFC-019	Resonator	Wizard	{r}	1	300	200	Fire	C	When this card enters your field => Put a mana counter on your J/ruler. Remove a mana counter from your J/ruler: This card gains [Swiftness] until end of turn.
Demon of the Crest, Namblot	CFC	CFC-020	CFC-020	Resonator	Seven Luminaries Demon	{r}{r}	2	500	500	Fire	SR	[Swiftness] When this card enters your field => It deals 400 damage to target J/resonator if your J/ruler is "Mars, Fortuneteller of the Fire Star" or "Mars, Dark Commander of Fire". At end of turn => Return this card to its owner's hand.
Dragon Knight of Altea	CFC	CFC-021	CFC-021	Resonator	Dragon Knight	{r}{1}	2	600	600	Fire	C	{r}: This card gains [Flying] until end of turn.
Fairy Tale Library, Alexandria	CFC	CFC-022	CFC-022	Addition		{r}{1}	2			Fire	U	When this card enters your field => Choose a race. Resonators you control of the chosen race gain [Swiftness].
Fiery Chariot, Red Boy	CFC	CFC-023	CFC-023	Resonator	Myth	{r}{r}{4}	6	1400	1400	Fire	SR	[First Strike] When this card enters your field => It deals 500 damage to each J/resonator your opponent controls, plus an additional 100 damage for each different attribute among all wills spent to play this card.
Flame Dragon of Altea	CFC	CFC-024	CFC-024	Resonator	Dragon	{r}{r}	2	1200	1200	Fire	R	[Flying] You pay {1} more to play this card for each card in your hand.
Introspective Jutsu	CFC	CFC-025	CFC-025	Chant		{r}{r}{1}	3			Fire	C	[Quickcast] Target resonator gains [+1000/0] until end of turn.
Invitation of Disaster	CFC	CFC-026	CFC-026	Chant		{r}{r}{1}	3			Fire	R	Choose one - This card deals 800 damage to target resonator. If this card was awakened, it deals 2000 damage instead; or this card deals 800 damage to your opponent. If this card was awakened, it deals 2000 damage instead. [Awakening] {r}{r}{6}
Mars, Fortuneteller of the Fire Star | Mars, Dark Commander of Fire	CFC	CFC-027-r,CFC-027-j	CFC-027	Ruler	Seven Luminaries Mage			0 | 1000	0 | 1000	Fire	JR	[Judgment] {r}{r}{1} [Energize] {r} Mana 2 (As the game starts, put two mana counters on this card.) Remove a mana counter from this card: Produce {r}. Spend this will only to play Ancient Magic cards. | Mana 5 As this card enters your field, you may remove a card named "Demon of the Crest, Namblot" in your hand from the game. If you do, this card enters your field with five mana counters on it. This card gains [First Strike] as long as a card named "Demon of the Crest, Namblot" is in your removed area and was removed by this card. Remove a mana counter from this card: Produce {r}. Spend this will only to play Ancient Magic cards.
Sacred Radiant Soul	CFC	CFC-028	CFC-028	Addition		{r}{2}	3			Fire	U	When this card enters your field => It deals 700 damage to target resonator.Bestowed resonator gains [+200/+200].Bestow {r}, [Rest] (Bestow this card to target resonator. Play this ability only if this card is not bestowed to a card and only anytime you can play a chant.)
Spirit of Fire	CFC	CFC-029	CFC-029	Resonator	Spirit	{r}{r}{1}	3	800	800	Fire	C	If a fire chant would deal damage, it deals that much +200 instead.
Stalking Tiger in the Woods	CFC	CFC-030	CFC-030	Resonator	Beast	{r}{2}	3	800	600	Fire	C	[First Strike]
The Ox King	CFC	CFC-031	CFC-031	Resonator	Myth	{r}{r}{4}	6	1500	1500	Fire	U	[Precision] (This card can attack recovered J/resonators.) Whenever a resonator that was dealt damage by this card this turn is put into a graveyard => Put five [+100/+100] counters on this card.
Tiger Charge	CFC	CFC-032	CFC-032	Chant		{r}	1			Fire	C	[Quickcast] Target resonator gains [+400/0] and [First Strike] until end of turn.
Tiger Lily, Tribal Princess	CFC	CFC-033	CFC-033	Resonator	Fairy Tale	{r}{1}	2	500	400	Fire	R	If this card would deal damage to a J/resonator, it deals double that much instead.
Tiny Reconnaissance Drake	CFC	CFC-034	CFC-034	Resonator	Dragon	{r}	1	200	200	Fire	C	You may pay {1} less to play resonators with total cost 5 or more.
Altea, Nation of Dark Magics	CFC	CFC-035	CFC-035	Addition		{u}{u}{6}	8			Water	U	Each turn, you may pay {0} to play your first chant rather than pay its cost.
Ancient Automaton	CFC	CFC-036	CFC-036	Resonator	Automaton	{u}{1}	2	400	400	Water	R	This card gains [+200/+200] for each addition you control.
Captain Hook, the Pirate	CFC	CFC-037	CFC-037	Resonator	Fairy Tale	{u}{u}{3}	5	1000	1000	Water	R	When this card enters your field => Choose one - Put up to two target special magic stones on top of their owner's magic stone decks in any order; or return up to two target resonators to their owners' hands.
Charlotte, Determined Girl | Charlotte, the Mage of Sacred Spirit	CFC	CFC-038-r,CFC-038-j	CFC-038	Ruler	Human			0 | 400	0 | 1200	Water	JR	[Judgment] {u}{1} [Energize] {u} {u}, discard a card: Rest target resonator. | This card cannot be attacked. When this card enters your field => Draw X cards, where X is five minus the number ot cards in your hand. Whenever you draw a card => You gain 100 life. {u}{1}, discard a card: Return target resonator to its owner's hand.
Charlotte's Protector	CFC	CFC-039	CFC-039	Resonator	Heroic Spirit	{u}{u}	2	500	500	Water	C	When this card is put into a grevayard from your hand => Draw a card.
Charlotte's Water Transformation Magic	CFC	CFC-040	CFC-040	Chant		{u}	1			Water	U	[Quickcast] [Remnant] Target resonator loses all abilities and becomes a [400/400] Bear until end of turn.
Cheshire Cat, Guide to the Mysterious World	CFC	CFC-041	CFC-041	Resonator	Fairy Tale	{u}{1}	2	600	600	Water	SR	This card gains [Flying], [First Strike], [Swiftness], and/or [Precision] as long as there are cards with that ability in any removed area that were removed by this card.This card gains [+100/+100] for each card in any removed area that was removed by this card.{0}: Choose one. Play this ability only once per turn - Remove a card in your hand from the game; or put a card from a removed area that was removed by this card into your hand.
Guide to the Ancient Ice Wall	CFC	CFC-042	CFC-042	Resonator	Human	{u}{2}	3	600	1000	Water	C	Whenever you play a water chant or addition => Target resonator cannot be blocked until end of turn.
Lumia, Saint of World Awakening	CFC	CFC-043,CFC-043B	CFC-043	Resonator (Shift)	Human	{w}{r}{u}{7}	10			Light/Fire/Water	SR	When this card enters your field or shifts => Your life becomes 4000. Put up to one target chant from your graveyard into your hand.
Melt to Nothing	CFC	CFC-044	CFC-044	Chant		{u}{u}{1}	3			Water	C	[Quickcast] J/resonators you control gain "[Rest] Return target resonator your opponent controls to its owner's hand." until end of turn.
Mermaid of Neverland	CFC	CFC-045	CFC-045	Resonator	Fairy Tale	{u}{2}	3	600	600	Water	C	When this card enters your field => Draw a card.
Rabbit of the Aqua Moon	CFC	CFC-046	CFC-046	Resonator	Rabbit	{u}	1	200	400	Water	U	Banish this card: Draw a card, then discard a card.
Return to the Moon Wererabbit	CFC	CFC-047	CFC-047	Resonator	Wererabbit	{u}{1}	2	500	600	Water	C	When this card enters your field => You may put target addition on top of its owner's deck.
Rising from the Depths	CFC	CFC-048	CFC-048	Chant		{u}{u}{2}	4			Water	R	Return all resonators to their owner's hands. [Awakening] {u}{u}{4}: You may put up to three water resonators from your hand into your field.
Shackles of Ice	CFC	CFC-049	CFC-049	Addition		{u}	1			Water	U	As long as this card is not bestowed to a card, players cannot play rulers' activate abilities. Bestowed resonator's controller cannot play its activate abilities. Bestow {u}, [Rest] (Bestow this card to target resonator. Play this ability only if this card is not bestowed to a card and only anytime you can play a chant.)
Stargazing Fortune Teller	CFC	CFC-050	CFC-050	Resonator	Human	{u}	1	100	500	Water	C	{u}{u}{1}, [Rest] Draw a card.
Summon from Memoria	CFC	CFC-051	CFC-051	Chant		{u}	1			Water	C	Look at the top three cards of your deck. Put a card from among them into your hand. Put the rest on the bottom of your deck in any order.
Bird of Paradise, Dancing in the Sky	CFC	CFC-052	CFC-052	Resonator	Beast	{g}{1}	2	400	200	Wind	R	[Flying] When this card enters your field => Search your deck for a card named "Bird of Paradise, Dancing in the Sky", reveal it and put it into your hand. Then shuffle your deck.
Cloning Magic	CFC	CFC-053	CFC-053	Chant		{g}{1}	2			Wind	C	[Quickcast] Target resonator gains "Whenever you play an activate ability of this card => Copy that ability. You may choose new targets for the copy." until end of turn. [Torrent] (As you play this card, if you played one or more other cards this turn, it gains the following text.) Draw a card.
Crea, Musician of Wind	CFC	CFC-054	CFC-054	Resonator	Elf	{g}{2}	3	500	700	Wind	R	When this card enters your field => Search your deck for an Elf resonator with total cost 1, reveal it and put it into your hand. Then shuffle your deck. If you played two or more cards this turn, put that resonator into your field instead. Rest a recovered Elf resonator you control: Target Elf J/resonator gains [+100/+100] until end of turn.
Elf of the Gusty Hill	CFC	CFC-055	CFC-055	Resonator	Elf	{g}	1	400	400	Wind	C	
Favorable Winds	CFC	CFC-056	CFC-056	Chant		{g}{g}{2}	4			Wind	C	Search your magic stone deck for up to two non-special wind magic stones and put them into your field. Then shuffle your magic stone deck.
Flying Cloud	CFC	CFC-057	CFC-057	Addition		{g}	1			Wind	U	As long as this card is not bestowed to a card and your J-ruler is wind, it gains [+200/+200] and [Flying]. As long as bestowed resonator is wind, it gains [+200/+200] and [Flying]. Bestow {g},Rest (Bestow this card to target resonator. Play this ability only if this card is not bestowed to a card and only anytime you can play a chant.)
Heavenly Gust	CFC	CFC-058	CFC-058	Chant		{g}{g}	2			Wind	R	[Quickcast] Choose one - Destroy target addition or regalia; [Torrent] (As you play this card, if you played one or more other cards this turn, it gains the following text.) Destroy all additions and regalia your opponent controls.
Magic Born Vegetation	CFC	CFC-059	CFC-059	Resonator	Vegetation	{g}	1	0	100	Wind	C	[Rest] Put a magic counter on this card. [Rest] banish this card: Produce {g} for each magic counter on this card.
Magic Stone Analysis	CFC	CFC-060	CFC-060	Chant		{g}{1}	2			Wind	C	Search your magic stone deck for a non-special magic stone and put it into your field. Then shuffle your magic stone deck.
Protector of the Forest	CFC	CFC-061	CFC-061	Resonator	Beast	{g}{4}	5	1200	1200	Wind	C	
