Name	Set	ImageFile	SetID	Type	Subtype/Race	Cost	T.Cost	ATK	DEF	Attribute	Rarity	Script	Cardtext
White Raven	SDR1	SDR1-011	SDR1-011	Resonator	Bird	{w}	1	300	300	Light	C		[Flying] (This card cannot be blocked by J/resonators without [Flying].) When this card enters the field => You may banish a gem. If you do, draw a card.
Apprentice Cook	SDR2	SDR2-001	SDR2-001	Resonator	Dragonoid	{r}	1	300	400	Fire	C		When this card enters the field => Put two strength counters on your J/ruler.
Burning Awakening	SDR2	SDR2-002	SDR2-002	Chant	Battle Arts	{r}{r}	2			Fire	C		[Quickcast] (You may play this card anytime you have priority.) As an additional cost to play this card, remove five strength counters from your J/ruler. Target J/resonator gains [+1000/+1000] until end of turn.
Dragon Breath	SDR2	SDR2-003	SDR2-003	Chant	Battle Arts	{r}{2}	3			Fire	C		As an additional cost to play this card, remove X strength counters from your J/ruler. This card deals X00 damage to each J/resonator without [Flying].
Dragon of Mt. Hoelle	SDR2	SDR2-004	SDR2-004	Resonator	Dragonoid	{r}{r}{r}{1}	4	1500	1500	Fire	SR		[Flying] (This card cannot be blocked by J/resonators without [Flying].) This card cannot attack unless you remove two strength counters from your J/ruler. This card cannot block unless you remove two strength counters from your J/ruler. {r}{r}: This card deals 300 damage to target J/resonator.
Elia Rua, the Combat Chef	SDR2	SDR2-005	SDR2-005	Resonator	Dragonoid	{r}{r}{1}	3	800	800	Fire	SR		[Rest]: Recover your ruler.
Hell Flame	SDR2	SDR2-006	SDR2-006	Chant	Battle Arts	{r}	1			Fire	R		[Quickcast] (You may play this card anytime you have priority.) As an additional cost to play this card, remove X strength counters from your J/ruler. This card deals X00 damage to target J/resonator.
Hoelle Pig	SDR2	SDR2-007	SDR2-007	Resonator	Beast	{r}	1	400	300	Fire	C		Banish this card: Recover your ruler.
Hoellesaurus	SDR2	SDR2-008	SDR2-008	Resonator	Dinosaur	{r}{r}	2	600	600	Fire	U		When this card enters the field => It deals 300 damage to target J/resonator.
Kirik Rerik | Kirik Rerik, the Draconic Warrior	SDR2	SDR2-009-r,SDR2-009-j	SDR2-009	Ruler | J-Ruler	Dragonoid	{r}{r}{1}	3	1200	1000	Fire	JR	<s><a>y</a><l>Set Initial Loyalty</l><f>/ccr=10</f></s>	{r}{r}{1} (Pay {r}{r}{1} to flip this card and put it into the field as a J-ruler.) [Energize]{r} (As the game starts, if you are not the player going first, you get a will coin with "Banish this coin: Produce {r}.") At the beginning of the game => Put ten strength counters on this card. [Rest]: Put X strength counters on this card, where X is ten minus the number of strength counters on this card. Sealed Item: <<???>>
Kirik's Partner	SDR2	SDR2-010	SDR2-010	Resonator	Dragon	{r}{2}	3	600	600	Fire	R		[Flying] (This card cannot be blocked by J/resonators without [Flying].) When this card enters the field => Put target Battle Arts chant from your graveyard into your hand. Your J-ruler gains [Flying].
Mad Boar of Mt. Hoelle	SDR2	SDR2-011	SDR2-011	Resonator	Beast	{r}{r}	2	700	300	Fire	U		[Swiftness] (This card can attack and you can play its [Rest] abilities the same turn it enters the field.) [Bloodlust] （This card must attack if able.）[First Strike] (While attacking, this card deals battle damage first to the blocker or attacked object.)
Angelic Voice Mermaid	SDR3	SDR3-001	SDR3-001	Resonator	Mermaid	{u}	1	300	300	Water	C		When this card enters the field => Draw a card if the weather is rain.
Aqua Rifle Mermaid	SDR3	SDR3-002	SDR3-002	Resonator	Mermaid	{u}{u}{1}	3	700	700	Water	R		When this card enters the field => Rest target resonator. If the weather is rain, return it to its owner's hand instead.
Cleansing Rain	SDR3	SDR3-003	SDR3-003	Chant		{u}{1}	2			Water	R		[Quickcast] (You may play this card anytime you have priority.) Return target resonator to its owner's hand. If the weather is rain, put it on top of its owner's deck instead.
Giant Sea Jelly	SDR3	SDR3-004	SDR3-004	Resonator	Jellyfish	{u}{1}	2	500	500	Water	U		This card gains [+200/+200] as long as the weather is rain.
Peko, the Wise Dolphin	SDR3	SDR3-005	SDR3-005	Resonator	Dolphin	{u}{u}	2	600	600	Water	SR		This card gains [Flying] as long as the weather is rain. (This card cannot be blocked by J/resonators without [Flying].)
Princess Shaela's Attendant	SDR3	SDR3-006	SDR3-006	Resonator	Mermaid	{u}	1	300	300	Water	C		This card gains [+200/+200] as long as the weather is rain.
Shaela | Shaela, the Mermaid Princess	SDR3	SDR3-007-r,SDR3-007-j	SDR3-007	Ruler | J-Ruler	Mermaid	{u}{u}{1}	3	1000	1200	Water	JR		{u}{u}{1} (Pay {u}{u}{1} to flip this card and put it into the field as a J-ruler.) [Energize]{u} (As the game starts, if you are not the player going first, you get a will coin with "Banish this coin: Produce {u}.") The weather is rain during your turn. [Rest]: Search your deck for a card named "Weather Change: Rain", reveal it and put it into your hand. Then shuffle your deck. Sealed Item: <<???>> | The weather is rain. When this card enters the field => Draw a card. Sealed Item: <<???>>
Stormbolt	SDR3	SDR3-008	SDR3-008	Chant		{u}{1}	2			Water	C		Choose one, if the weather is rain, you may choose up to three - Draw a card; or prevent all damage that would be dealt by target J/resonator until end of turn; or rest target J/resonator.
The White Whale	SDR3	SDR3-009	SDR3-009	Resonator	Whale	{u}{2}	3	1000	1000	Water	U		This card cannot attack or block unless the weather is rain.
Wave Rider Mermaid	SDR3	SDR3-010	SDR3-010	Resonator	Mermaid	{u}{u}{u}{1}	4	1000	1000	Water	SR		This card gains [+200/+200] and [Flying] as long as the weather is rain. (This card cannot be blocked by J/resonators without [Flying].) {u}{u}: Rest target resonator. Play this ability only if the weather is rain.
Weather Change: Rain	SDR3	SDR3-011	SDR3-011	Chant		{u}	1			Water	C		[Quickcast] (You may play this card anytime you have priority.) The weather is rain until end of turn. Draw a card.
Cecil Letoliel, Elven Prince	SDR4	SDR4-001	SDR4-001	Resonator	Elf	{g}{g}{3}	5	1000	1000	Wind	SR		You may pay {1} less to play this card for each Elemental in your graveyard. Elemental resonators you control gain [+200/+200].
Elven Guide	SDR4	SDR4-002	SDR4-002	Resonator	Elf	{g}{1}	2	600	600	Wind	R		When this card enters the field => Look at the top three cards of your deck. Put one from among them in your graveyard and the rest on the bottom of your deck in any order.
Gentle Breeze Elemental	SDR4	SDR4-003	SDR4-003	Chant	Spirit Magic/Elemental	{g}	1			Wind	C		[Quickcast] (You may play this card anytime you have priority.) Draw a card.
Gill | Gill, the Gifted Conjurer	SDR4	SDR4-004-r,SDR4-004-j	SDR4-004	Ruler | J-Ruler	Human	{g}{g}{1}	3	1100	1100	Wind	JR		[Judgment] {g}{g}{1} (Pay {g}{g}{1} to flip this card and put it into the field as a J-ruler.) [Energize]{g} (As the game starts, if you are not the player going first, you get a will coin with "Banish this coin: Produce {g}") Remove an Elemental in your graveyard from the game: Produce {g}. Spend this will only to play Spirit Magic chants. Play this ability only once per turn. [Rest]: Search your deck for a card named "Gentle Breeze Elemental", reveal it and put it into your hand. Then shuffle your deck. Sealed Item: <<???>> | [Barrier] (Cards you control with [Barrier] cannot be targeted by spells or abilities your opponent controls.) Remove an Elemental in your graveyard from the game: Produce {g}. Spend this will only to play Spirit Magic chants. Play this ability only once per turn. Sealed Item: <<???>>
Guardian of the Portal	SDR4	SDR4-005	SDR4-005	Resonator	Elf	{g}{g}	2	600	600	Wind	U		Rest another recovered resonator you control: This card gains [+100/+100] until end of turn.
Leaf Fighter	SDR4	SDR4-006	SDR4-006	Resonator	Elemental	{g}	1	400	400	Wind	C		
Leaf Magician	SDR4	SDR4-007	SDR4-007	Resonator	Elemental	{g}{g}{1}	3	700	700	Wind	U		When this card is put into a graveyard from the field => Draw a card.
Travelling Trader	SDR4	SDR4-008	SDR4-008	Resonator	Human	{g}	1	300	400	Wind	C		When this card enters the field => Draw a card, then discard a card.
Tree Root Sprite	SDR4	SDR4-009	SDR4-009	Resonator	Fairy	{g}{2}	3	800	800	Wind	SR		When this card enters the field => Choose one - Destroy target non-magic stone, non-J/resonator entity; or search your deck for an Elemental and put it into your graveyard. Then shuffle your deck.
Vanish	SDR4	SDR4-010	SDR4-010	Chant	Spirit Magic	{g}{g}{g}	3			Wind	R		[Quickcast] (You may play this card anytime you have priority.) Cancel target spell.
Winds of Vitality	SDR4	SDR4-011	SDR4-011	Chant	Spirit Magic	{g}	1			Wind	C		[Quickcast] (You may play this card anytime you have priority.) Target J/resonator gains [+600/+600] until end of turn.
Ahriman, Malicious Eye in the Dark	SDR5	SDR5-001	SDR5-001	Resonator	Familiar	{d}{1}	2	600	600	Darkness	SR		When this card is put into a graveyard from the field => Put a mystery counter on your J/ruler.
Alucard, the Vampiric Noble	SDR5	SDR5-002	SDR5-002	Resonator	Vampire	{d}{d}{1}	3	600	600	Darkness	U		Other Vampires you control gain [+200/+200].
Ashen Snow White	SDR5	SDR5-003	SDR5-003	Resonator	Fairy Tale	{d}{d}	2	500	700	Darkness	R		Remove a mystery counter from your J/ruler: This card gains [+200/+200] and [Precision] until end of turn. Play this ability only once per turn.
Bats from the Dark Castle	SDR5	SDR5-004	SDR5-004	Resonator	Bat	{d}	1	0	400	Darkness	C		[Flying] (This card cannot be blocked by J/resonators without [Flying].) This card gains [+200/0] for each mystery counter on your J/ruler.
Dark Night Butterfly	SDR5	SDR5-005	SDR5-005	Chant	Mystery	{d}	1			Darkness	C		Your opponent discards a card. If this card was awakened, your opponent discards two cards instead. [Awakening] Remove two mystery counters from your J/ruler.
Empress Carmilla	SDR5	SDR5-006	SDR5-006	Resonator	Vampire	{d}{2}	3	600	600	Darkness	U		When this card enters the field => Destroy target resonator with total cost 1.
Grimm, the Pitch Black Vampire	SDR5	SDR5-007	SDR5-007	Resonator	Vampire/Fairy Tale	{d}{d}{2}	4	900	900	Darkness	SR		[Flying] (This card cannot be blocked by J/resonators without [Flying].) When this card enters the field => Put target resonator from your graveyard into your hand. {d}{d}: J/resonators your opponent controls gain [-X00/-X00] until end of turn, where X is the number of Fairy Tales you control.
Moonlight Shadow	SDR5	SDR5-008	SDR5-008	Resonator	Vampire	{d}	1	400	400	Darkness	C		
Reiya, Fourth Daughter of the Mikage | Reiya, Fourth Daughter of the Mikage	SDR5	SDR5-009-r,SDR5-009-j	SDR5-009	Ruler | J-Ruler	Vampire	{d}{d}{1}	3	1200	1200	Darkness	JR		[Judgment] {d}{d}{1} (Pay {d}{d}{1} to flip this card and put it into the field as a J-ruler.) [Energize]{d} (As the game starts, if you are not the player going first, you get a will coin with "Banish this coin: Produce {d}.") At the beginning of the game => Put a mystery counter on this card. [Rest]: Put a mystery counter on this card. Sealed Item: <<???>> | [Flying] When this card enters the field => Put three mystery counters on it. [Rest], remove a mystery counter from this card: Destroy target resonator. Sealed Item: <<???>>
Sword of the Half Moon	SDR5	SDR5-010	SDR5-010	Chant	Mystery	{d}{d}	2			Darkness	C		[Quickcast] (You may play this card anytime you have priority.) Target J/resonator gains [-600/-600] until end of turn. If this card was awakened, put it into its owner's hand as it resolves. [Awakening] Remove two mystery counters from your J/ruler.
Sword of the New Moon	SDR5	SDR5-011	SDR5-011	Chant	Mystery	{d}	1			Darkness	R		[Quickcast] (You may play this card anytime you have priority.) Choose one - Destroy target resonator with total cost 1 or less; or destroy target resonator with total cost 4 or less if this card was awakened. [Awakening] Remove a mystery counter from your J/ruler.
Conjure Constructs	ACN	ACN-001	ACN-001	Chant		{w}{w}{1}	3			Light	R		Put three [500/500] light Golem resonator tokens with [Mobilize]{2} into the field.
Crippling Light	ACN	ACN-002	ACN-002	Chant		{w}{w}{3}	5			Light	SR		Destroy all non-Golem resonators.
Discovery	ACN	ACN-003	ACN-003	Chant		{w}	1			Light	C		[Quickcast] Gain a gem of any attribute. Draw a card.
Gem Beast	ACN	ACN-004	ACN-004	Resonator	Beast	{w}{1}	2	600	600	Light	U		When this card leaves the field => Gain a gem of any attribute.
Gem Blade Emerald	ACN	ACN-005	ACN-005	Resonator	Panda	{w}{w}{2}	4	800	800	Light	U		When this card enters the field => Recover up to four target magic stones if you control a wind gem.
Gem Minister Garnet	ACN	ACN-006	ACN-006	Resonator	Panda	{w}{w}{w}	3	500	900	Light	R		When this card enters the field => Gain a gem of any attribute. Draw a card.
Gem Trader	ACN	ACN-007	ACN-007	Resonator	Human	{w}	1	300	300	Light	C		When this card enters the field => Gain a light gem.
Heavy Arms Panda	ACN	ACN-008	ACN-008	Resonator	Panda	{w}{w}{2}	4	800	800	Light	C		This card gains [+400/+400] as long as there are three or more different attributes among all gems you control.
Jewel Bullet	ACN	ACN-009	ACN-009	Chant		{w}	1			Light	R		This card deals 400 damage to target non-Panda resonator. If this card was awakened, it deals 800 damage instead. [Awakening] Banish a gem.
Jewel Protection	ACN	ACN-010	ACN-010	Chant		{w}	1			Light	C		Gain a gem of any attribute. Then you may banish a gem. If you do, prevent all damage that would be dealt to target resonator by sources that share an attribute with the gem banished this way until end of turn. That resonator gains [Barrier](Banished gem's attributes) until end of turn.
Jewel Shield	ACN	ACN-011	ACN-011	Chant		{w}	1			Light	C		[Quickcast] (You may play this card anytime you have priority.) Target resonator gains [0/+200] until end of turn. Gain a gem of any attribute. Then that resonator gains [0/+100] for each different attribute among all gems you control until end of turn.
Jewel Sword	ACN	ACN-012	ACN-012	Chant		{w}	1			Light	C		[Quickcast] (You may play this card anytime you have priority.) Target resonator gains [+200/0] until end of turn. Gain a gem of any attribute. Then that resonator gains [+100/0] for each different attribute among all gems you control until end of turn.
Jeweler of Sasaru Palace	ACN	ACN-013	ACN-013	Resonator	Panda	{w}{2}	3	300	800	Light	U		[Rest], banish a light gem: Gain a gem of any attribute.
Light of Transmigration	ACN	ACN-014	ACN-014	Chant		{w}{1}	2			Light	U		[Remnant] Remove target resonator you control from the game. At the next end of turn => Put it into the field under its owner's control.
Magic Light Warrior	ACN	ACN-015	ACN-015	Resonator	Golem	{w}	1	600	600	Light	C		[Mobilize]{w} (This card cannot attack or block unless its controller pays {w}.)
Magic Shield Warrior	ACN	ACN-016	ACN-016	Resonator	Golem	{w}{1}	2	0	1500	Light	C		[Mobilize]{1} (This card cannot attack or block unless its controller pays {1}.)
Magic Sword Warrior	ACN	ACN-017	ACN-017	Resonator	Golem	{w}{w}	2	800	600	Light	U		[First Strike] [Mobilize]{w}
Orphica, Dancer in the White Mist	ACN	ACN-018	ACN-018	Resonator	Dragonoid	{w}{w}	2	400	400	Light	SR		Pandas you control gain [+200/+200]. When this card enters the field => Remove another target resonator from the game. At the next end of turn => Put it into the field under its owner's control. When this card is put into a graveyard from the field => Search your deck for a Panda, reveal it and put it into your hand. Then shuffle your deck.
Panda Acrobat	ACN	ACN-019	ACN-019	Resonator	Panda	{w}{w}{3}	5	1200	1200	Light	C		When this card enters the field => You may banish a gem. If you do, rest target resonator.
Pandora | Pandora, Guardian of the Sacred Temple	ACN	ACN-020-r,ACN-020-j	ACN-020	Ruler | J-Ruler	Guardian	{w}	1	1000	2000	Light	JR		[Judgement] {w}. Play this ability only if you control three or more Golems. [Energize]{w} [Hair Ornament of Light]{0}: Target Golem you control is mobilized until end of turn. Play this ability only once per turn. | Golems you control are mobilized. If damage would be dealt to a Golem you control, it's dealt to this card instead. [Hair Ornament of Light]{w}{w}{2}: Golems you control gain [+400/+400] until end of turn.
Profitable Transactions	ACN	ACN-021	ACN-021	Chant		{w}	1			Light	U		[Quickcast] Choose up to five - Banish a light gem. If you do, rest target resonator; or banish a fire gem. If you do, this card deals 600 damage to target resonator; or banish a water gem. If you do, return target resonator to its owner's hand; or banish a wind gem. If you do, draw a card; or banish a darkness gem. If you do, your opponent discards a card.
Reduction	ACN	ACN-022	ACN-022	Chant		{w}{1}	2			Light	C		[Quickcast] Target resonator becomes a [0/100] until end of turn.
Sacred Temple of Light	ACN	ACN-023	ACN-023	Addition		{w}{2}	3			Light	U		At end of turn => If you don't control a resonator, you may banish this card. If you do, search your deck for a Golem and put it into the field. Then shuffle your deck.
Shin-Shin&Rei-Rei, Acrobatic Twins	ACN	ACN-024	ACN-024	Resonator	Panda	{w}{w}{3}	5	1000	1000	Light	R		When this card enters the field => You may banish two light gems. If you do, search your deck for a Panda and put it into the field. Then shuffle your deck.
Summon Magic Warriors	ACN	ACN-025	ACN-025	Chant		{w}{w}{1}	3			Light	U		Look at the top seven cards of your deck. Put up to two Golems with a combined total cost of 5 or less from among them into the field. Put the rest on the bottom of your deck in a random order.
Ultimate Magic Warrior, Gear Atmos	ACN	ACN-026	ACN-026	Resonator	Golem	{w}{w}{5}	7	2000	2000	Light	R		[Mobilize]{3} You may banish three Golems rather than pay this card's cost. When this card enters the field => Destroy target resonator your opponent controls.
White Cat of Sasaru Palace	ACN	ACN-027	ACN-027	Resonator	Cat	{w}	1	200	200	Light	C		When this card is put into a graveyard from the field => Gain a gem of any attribute.
White Raven	ACN	ACN-028	ACN-028	Resonator	Bird	{w}	1	300	300	Light	C		[Flying] (This card cannot be blocked by J/resonators without [Flying].) When this card enters the field => You may banish a gem. If you do, draw a card.
Wing Rider Panda	ACN	ACN-029	ACN-029	Resonator	Panda	{w}{3}	4	600	1200	Light	C		This card gains [Flying] as long as you control a water gem.
Apprentice Beast Tamer	ACN	ACN-030	ACN-030	Resonator	Dragonoid	{r}{2}	3	700	700	Fire	C		When this card enters the field => Target Beast gains [+400/+400] and [Swiftness] until end of turn.
Archaeopteryx	ACN	ACN-031	ACN-031	Resonator	Dinosaur	{r}{r}{2}	4	800	800	Fire	U		[Flying] [First Strike]
Beast Den on Mt. Hoelle	ACN	ACN-032	ACN-032	Addition		{r}{1}	2			Fire	U		Dragonoids you control gain [+200/+200]. {r}{r}, banish this card: Search your deck for a Dragonoid, reveal it and put it into your hand. Then shuffle your deck.
Burning Awakening	ACN	ACN-033	ACN-033	Chant	Battle Arts	{r}{r}	2			Fire	C		[Quickcast] (You may play this card anytime you have priority.) As an additional cost to play this card, remove five strength counters from your J/ruler. Target J/resonator gains [+1000/+1000] until end of turn.
Demon Watcher	ACN	ACN-034	ACN-034	Resonator	Demon	{r}{r}{3}	5	800	600	Fire	U		[Flying] When this card is put into a graveyard from the field => It deals 600 damage to target resonator.
Devil's Advocate	ACN	ACN-035	ACN-035	Chant		{r}{r}{3}	5			Fire	U		Recover target resonator. Gain control of it until end of turn. It gains [Swiftness] until end of turn.
Dino-Rush	ACN	ACN-036	ACN-036	Chant		{r}{1}	2			Fire	C		Target J/resonator you control deals damage equal to its ATK to another target J/resonator.
Dragon Call	ACN	ACN-037	ACN-037	Chant		{r}	1			Fire	R		Search your deck for a Dragon, Dragonoid, or Dinosaur, reveal it and put it into your hand. Then shuffle your deck.
Dragonoid Martial Artist	ACN	ACN-038	ACN-038	Resonator	Dragonoid	{r}{r}{3}	5	1400	800	Fire	C		
Environmental Researcher, Fabre	ACN	ACN-039	ACN-039	Resonator	Dragonoid	{r}{r}{3}	5	400	400	Fire	R		[Flying] When this card enters the field => Put a [1000/1000] fire Dragon resonator token with [Flying] into the field.
Eruptiphant	ACN	ACN-040	ACN-040	Resonator	Beast	{r}{r}{r}	3	700	700	Fire	R		Beasts you control gain [Swiftness]. Whenever another resonator you control attacks => This card gains [+100/+100] until end of turn.
Explorer on Mt. Hoelle	ACN	ACN-041	ACN-041	Resonator	Human	{r}{1}	2	700	500	Fire	C		When this card enters the field => Reveal the top card of your deck. If it's a chant, put it into your hand.
Fiend Fire	ACN	ACN-042	ACN-042	Chant		{r}{x}	1			Fire	SR		This card deals 200 damage multiplied by X to target player or resonator. If you spent {d} to play this card, you gain that much life.
Fire Dragon's Egg	ACN	ACN-043	ACN-043	Resonator	Dragon	{r}{r}{2}	4	0	100	Fire	C		This card cannot attack or block. When this card is put into a graveyard from the field => Put a [1000/1000] fire Dragon resonator token with [Flying] into the field.
Flame Style	ACN	ACN-044	ACN-044	Chant		{r}{r}{2}	4			Fire	U		This card deals 700 damage to each resonator.
Flying Drill	ACN	ACN-045	ACN-045	Chant	Battle Arts	{r}	1			Fire	C		[Quickcast] This card deals 1000 damage to target resonator with [Flying]. This card deals 1000 damage to up to one second target resonator with [Flying] if this card was awakened. [Awakening] Remove three strength counters from your J/ruler.
Food Supply	ACN	ACN-046	ACN-046	Chant		{r}	1			Fire	C		[Quickcast] Put five strength counters on your J/ruler. Draw a card.
Gourmet Chef, Sherry Shera	ACN	ACN-047	ACN-047	Resonator	Dragonoid	{r}{r}{2}	4	1000	1000	Fire	R		When this card enters the field => Put ten strength counters on your J/ruler.
Hell Flame	ACN	ACN-048	ACN-048	Chant	Battle Arts	{r}	1			Fire	C		[Quickcast] (You may play this card anytime you have priority.) As an additional cost to play this card, remove X strength counters from your J/ruler. This card deals X00 damage to target J/resonator.
High Speed	ACN	ACN-049	ACN-049	Chant	Battle Arts	{r}	1			Fire	U		[Remnant] Target resonator gains [+200/+200] and [Swiftness] until end of turn. [Awakening] Remove four strength counters from your J/ruler: This card deals 400 damage to your opponent.
Hoelle Pig	ACN	ACN-050	ACN-050	Resonator	Beast	{r}	1	400	300	Fire	C		Banish this card: Recover your ruler.
Hoellesaurus	ACN	ACN-051	ACN-051	Resonator	Dinosaur	{r}{r}	2	600	600	Fire	C		When this card enters the field => It deals 300 damage to target J/resonator.
Kaim, Demon of Vice	ACN	ACN-052	ACN-052	Resonator	Demon	{r}{r}{2}	4	1000	1000	Fire	SR		When this card enters the field => Recover target resonator with total cost 2 or less your opponent controls. Gain control of it until end of turn. It gains [Swiftness] until end of turn. Whenever a resonator you control attacks => This card deals 200 damage to your opponent. {r}, banish a resonator: This card gains [Swiftness] until end of turn.
Master of Faithful Beasts	ACN	ACN-053	ACN-053	Resonator	Dragonoid	{r}{r}{1}	3	700	700	Fire	U		When this card enters the field => Search your deck for a Beast, reveal it and put it into your hand. Then shuffle your deck.
Red Cap	ACN	ACN-054	ACN-054	Resonator	Evil Spirit	{r}	1	200	200	Fire	C		[Swiftness] When this card is put into a graveyard from the field => Search your deck for a card named "Red Cap", reveal it and put it into your hand. Then shuffle your deck.
Stone Tongued Basilisk	ACN	ACN-055	ACN-055	Resonator	Beast	{r}{r}	2	600	500	Fire	C		Whenever this card attacks => It gains [+200/0] until end of turn.
Two-Horned Almiraj	ACN	ACN-056	ACN-056	Resonator	Beast	{r}	1	500	500	Fire	U		When this card enters the field => It deals 500 damage to you.
Vanish in Fire	ACN	ACN-057	ACN-057	Chant	Battle Arts	{r}{r}{r}{r}{r}	5			Fire	R		As an additional cost to play this card, you may remove any number of strength counters from your J/ruler. This card deals X00 damage to each resonator your opponent controls, where X is the number of counters removed. If a resonator dealt damage by this card this turn would be put into a graveyard, remove it from the game instead.
Alternating Current Crystal	ACN	ACN-058	ACN-058	Resonator	Magic Lifeform	{u}{u}{2}	4	0	1000	Water	R		Golems you control are mobilized. {u}{1}, [Rest]: You may put a Golem from your hand into the field.
Aqua Rifle Mermaid	ACN	ACN-059	ACN-059	Resonator	Mermaid	{u}{u}{1}	3	700	700	Water	C		When this card enters the field => Rest target resonator. If the weather is rain, return it to its owner's hand instead.
Aquamarine, Panda Diplomat	ACN	ACN-060	ACN-060	Resonator	Panda	{u}{1}	2	500	700	Water	U		hen this card enters the field => You may banish a water gem. If you do, search your deck for a Mermaid, reveal it and put it into your hand. Then shuffle your deck.
Bubble Golem	ACN	ACN-061	ACN-061	Resonator	Golem	{u}{u}	2	1000	1000	Water	C		[Mobilize]{1} (This card cannot attack or block unless its controller pays {1}.) At end of battle => Banish this card if it attacked or blocked.
Cleansing Rain	ACN	ACN-062	ACN-062	Chant		{u}{1}	2			Water	C		[Quickcast] (You may play this card anytime you have priority.) Return target resonator to its owner's hand. If the weather is rain, put it on top of its owner's deck instead.
Confinement	ACN	ACN-063	ACN-063	Chant		{u}	1			Water	U		[Remnant] [Quickcast] Target resonator cannot attack this turn.
Coral Reef Mermaid	ACN	ACN-064	ACN-064	Resonator	Mermaid	{u}{2}	3	700	700	Water	C		When this card is put into a graveyard from the field => Return target resonator your opponent controls to its owner's hand.
Electrical Discharge	ACN	ACN-065	ACN-065	Chant		{u}{u}{2}	4			Water	C		Up to two target resonators don't recover during their controller's next recovery phase. This card deals 600 damage to them if the weather is rain.
Giant Squid	ACN	ACN-066	ACN-066	Resonator	Squid	{u}{2}	3	500	1000	Water	C		
Guard at the Coral Palace	ACN	ACN-067	ACN-067	Resonator	Mermaid	{u}{u}{1}	3	400	1200	Water	U		Whenever this card attacks or blocks => Look at the top card of your deck. You may put it on the bottom of your deck.
Keez, the Wise Dolphin	ACN	ACN-068	ACN-068	Resonator	Dolphin	{u}{3}	4	700	1000	Water	R		{u}: This card gains [Flying] until end of turn.
Keez's Call	ACN	ACN-069	ACN-069	Chant		{u}	1			Water	C		[Quickcast] Cancel target automatic ability of a resonator. Draw a card.
Magic Sound Warrior	ACN	ACN-070	ACN-070	Resonator	Golem	{u}{u}{3}	5	1200	1200	Water	U		[Mobilize]{2} Whenever your opponent plays a chant => Recover this card.
Magic Water Warrior	ACN	ACN-071	ACN-071	Resonator	Golem	{u}{3}	4	900	900	Water	C		[Flying] [Mobilize] {2}
Magical Tidal Surge	ACN	ACN-072	ACN-072	Chant		{u}{u}{u}{2}	5			Water	SR		Return all non-water resonators to their owners' hands.
